datetime,commission,exec_id,last_price,last_quantity,order_book_id,order_id,position_effect,side,symbol,tax,trading_datetime,transaction_cost
2016-03-01 15:00:00,26.56,1489739309,4.15,8000,600256.XSHG,1489739308,,BUY,广汇能源,0.0,2016-03-01 15:00:00,26.56
2016-03-01 15:00:00,26.639,1489739310,4.69,7100,600018.XSHG,1489739309,,BUY,上港集团,0.0,2016-03-01 15:00:00,26.639
2016-04-01 15:00:00,30.842,1489739311,5.43,7100,600018.XSHG,1489739311,,SELL,上港集团,38.553,2016-04-01 15:00:00,69.395
2016-04-01 15:00:00,28.8,1489739312,4.5,8000,600256.XSHG,1489739312,,SELL,广汇能源,36.0,2016-04-01 15:00:00,64.8
2016-04-01 15:00:00,28.598,1489739313,4.525,7900,600170.XSHG,1489739314,,BUY,上海建工,0.0,2016-04-01 15:00:00,28.598
2016-05-06 15:00:00,26.702,1489739314,4.225,7900,600170.XSHG,1489739316,,SELL,上海建工,33.377,2016-05-06 15:00:00,60.079
2016-06-08 15:00:00,27.627,1489739315,11.14,3100,600383.XSHG,1489739321,,BUY,金地集团,0.0,2016-06-08 15:00:00,27.627
2016-08-15 15:00:00,29.067,1489739316,9.82,3700,000718.XSHE,1489739326,,BUY,苏宁环球,0.0,2016-08-15 15:00:00,29.067
2016-08-15 15:00:00,28.392,1489739317,5.07,7000,601018.XSHG,1489739328,,BUY,宁波港,0.0,2016-08-15 15:00:00,28.392
2016-09-19 15:00:00,25.574,1489739318,8.64,3700,000718.XSHE,1489739329,,SELL,苏宁环球,31.968,2016-09-19 15:00:00,57.542
2016-09-19 15:00:00,29.76,1489739319,12.0,3100,600383.XSHG,1489739330,,SELL,金地集团,37.2,2016-09-19 15:00:00,66.96
2016-09-19 15:00:00,29.008,1489739320,5.18,7000,601018.XSHG,1489739331,,SELL,宁波港,36.26,2016-09-19 15:00:00,65.268
2016-09-19 15:00:00,27.907,1489739321,29.07,1200,600666.XSHG,1489739332,,BUY,奥瑞德,0.0,2016-09-19 15:00:00,27.907
2016-09-19 15:00:00,27.082,1489739322,28.21,1200,000555.XSHE,1489739333,,BUY,神州信息,0.0,2016-09-19 15:00:00,27.082
2016-09-19 15:00:00,27.882,1489739323,3.83,9100,603993.XSHG,1489739334,,BUY,洛阳钼业,0.0,2016-09-19 15:00:00,27.882
2016-10-27 15:00:00,26.304,1489739324,27.4,1200,000555.XSHE,1489739335,,SELL,神州信息,32.88,2016-10-27 15:00:00,59.184
2016-10-27 15:00:00,26.89,1489739325,28.01,1200,600666.XSHG,1489739336,,SELL,奥瑞德,33.612,2016-10-27 15:00:00,60.502
2016-10-27 15:00:00,27.882,1489739326,3.83,9100,603993.XSHG,1489739337,,SELL,洛阳钼业,34.853,2016-10-27 15:00:00,62.735
2016-10-27 15:00:00,26.769,1489739327,25.74,1300,002299.XSHE,1489739338,,BUY,圣农发展,0.0,2016-10-27 15:00:00,26.769
2016-10-27 15:00:00,26.688,1489739328,11.12,3000,000402.XSHE,1489739339,,BUY,金融街,0.0,2016-10-27 15:00:00,26.688
2016-10-27 15:00:00,25.084,1489739329,62.71,500,300017.XSHE,1489739340,,BUY,网宿科技,0.0,2016-10-27 15:00:00,25.084
2016-11-29 15:00:00,29.736,1489739330,12.39,3000,000402.XSHE,1489739341,,SELL,金融街,37.17,2016-11-29 15:00:00,66.906
2016-11-29 15:00:00,24.18,1489739331,60.45,500,300017.XSHE,1489739342,,SELL,网宿科技,30.225,2016-11-29 15:00:00,54.405
2016-11-29 15:00:00,5.0,1489739332,22.82,100,002299.XSHE,1489739343,,BUY,圣农发展,0.0,2016-11-29 15:00:00,5.0
2016-11-29 15:00:00,24.352,1489739333,38.05,800,300104.XSHE,1489739344,,BUY,乐视网,0.0,2016-11-29 15:00:00,24.352
2016-11-29 15:00:00,23.834,1489739334,42.56,700,601021.XSHG,1489739345,,BUY,春秋航空,0.0,2016-11-29 15:00:00,23.834
2016-12-30 15:00:00,23.766,1489739335,21.22,1400,002299.XSHE,1489739346,,SELL,圣农发展,29.708,2016-12-30 15:00:00,53.474
2016-12-30 15:00:00,20.574,1489739336,36.74,700,601021.XSHG,1489739348,,SELL,春秋航空,25.718,2016-12-30 15:00:00,46.292
2016-12-30 15:00:00,24.832,1489739337,4.85,6400,601225.XSHG,1489739349,,BUY,陕西煤业,0.0,2016-12-30 15:00:00,24.832
2016-12-30 15:00:00,24.66,1489739338,20.55,1500,000002.XSHE,1489739350,,BUY,万科A,0.0,2016-12-30 15:00:00,24.66
2017-02-09 15:00:00,23.27,1489739339,36.36,800,300104.XSHE,1489739352,,SELL,乐视网,29.088,2017-02-09 15:00:00,52.358
2017-02-09 15:00:00,27.648,1489739340,5.4,6400,601225.XSHG,1489739353,,SELL,陕西煤业,34.56,2017-02-09 15:00:00,62.208
2017-02-09 15:00:00,25.766,1489739341,7.32,4400,000718.XSHE,1489739354,,BUY,苏宁环球,0.0,2017-02-09 15:00:00,25.766
